DistrictId|PartnerId|TotalAmount|TranCount|NetMargin|MaxDateTran|MaxDateIndex|F2LOG|F1|F2|F3|Segment|CentroidID|F1LOG
1048608|6241555|100.52|6|28.2758|20161224|359|4.610356712675391|0.9835164835164836|0.34430383682587573|0.49063226759384504|GOOD CUSTOMERS|200|1.791759469228055
1048608|3002504|665.74|19|191.5741|20161229|364|6.500899203927832|0.9972527472527473|0.5658023050735925|0.656923232822431|MOST VALUED CUSTOMERS|100|2.9444389791664403
1048608|6223822|5.48|1|1.3583|20160215|46|1.7011051009599243|0.12362637362637365|0.0|0.2347362690413397|LOWER RANGE CUSTOMERS|400|0.0
1048608|7859851|14.39|1|4.0218|20160307|67|2.6665335208992764|0.18131868131868134|0.0|0.3196547644222439|LOWER RANGE CUSTOMERS|400|0.0
1048608|5669680|270.95|5|69.3731|20160704|186|5.601934302012123|0.5082417582417583|0.3092689939140253|0.5778508279767982|LOWER RANGE CUSTOMERS|400|1.6094379124341003
1048608|6831246|32.33|3|5.8793|20161218|353|3.4759955917373415|0.9670329670329672|0.2111089310081622|0.3908545547990359|GOOD CUSTOMERS|200|1.0986122886681098
1048608|2650368|711.7|11|122.5783|20161214|349|6.567656474305226|0.9560439560439561|0.4607786686272152|0.6627951616356937|MOST VALUED CUSTOMERS|100|2.3978952727983707
1048608|6260138|344.6|6|89.1789|20160718|200|5.842384324093829|0.5467032967032968|0.34430383682587573|0.5990006653627395|GOOD CUSTOMERS|200|1.791759469228055
1048608|4486365|170.92|5|21.3877|20161004|278|5.141195610775824|0.7609890109890111|0.3092689939140253|0.5373245335198654|GOOD CUSTOMERS|200|1.6094379124341003
1048608|5499696|255.06|15|60.8072|20161228|363|5.541498811598753|0.9945054945054946|0.5203779249221875|0.5725349590759916|MOST VALUED CUSTOMERS|100|2.70805020110221
1048608|6606363|440.14|6|99.6439|20160531|152|6.087092858121389|0.41483516483516486|0.34430383682587573|0.6205250788638386|LOWER RANGE CUSTOMERS|400|1.791759469228055
1048608|4504241|309.26|9|62.9|20161014|288|5.734182347047285|0.7884615384615385|0.4222178620163244|0.5894832854117651|GOOD CUSTOMERS|200|2.1972245773362196
1048608|5253282|357.76|13|71.5372|20161126|331|5.87986237052668|0.9065934065934067|0.4928797197419293|0.6022972114837801|MOST VALUED CUSTOMERS|100|2.5649493574615367
1048608|7177471|188.1|1|30.9791|20160115|15|5.236973736306985|0.03846153846153847|0.0|0.5457491190639915|LOWER RANGE CUSTOMERS|400|0.0
1048608|8448271|54.25|2|4.9757|20160812|225|3.993602992420569|0.6153846153846154|0.13319490581771357|0.4363829862769508|AVERAGE CUSTOMERS|300|0.6931471805599453
1048608|7301979|4.5|1|1.0134|20160812|225|1.5040773967762742|0.6153846153846154|0.0|0.21740583227143342|AVERAGE CUSTOMERS|300|0.0
1048608|8419340|132.47|6|35.0889|20161102|307|4.88635620469617|0.8406593406593408|0.34430383682587573|0.5149090146879183|GOOD CUSTOMERS|200|1.791759469228055
1048608|8437577|90.99|1|19.1017|20160923|267|4.5107496103686|0.7307692307692308|0.0|0.4818708875863289|AVERAGE CUSTOMERS|300|0.0
1048608|7486530|53.72|2|11.1109|20161022|296|3.9837853716550367|0.8104395604395606|0.13319490581771357|0.4355194343383393|GOOD CUSTOMERS|200|0.6931471805599453
1048608|5697483|68.96|2|12.4889|20161206|341|4.233526626355437|0.9340659340659342|0.13319490581771357|0.45748652288233455|GOOD CUSTOMERS|200|0.6931471805599453
1048608|8176235|53.17|2|16.9185|20160828|241|3.973494327516247|0.6593406593406594|0.13319490581771357|0.43461424036837165|AVERAGE CUSTOMERS|300|0.6931471805599453
1048608|3595925|578.33|13|138.507|20161102|307|6.360144640007479|0.8406593406593408|0.4928797197419293|0.6445425471711193|MOST VALUED CUSTOMERS|100|2.5649493574615367
1048608|5330073|2.67|1|1.0667|20160805|218|0.9820784724121582|0.5961538461538463|0.0|0.17149112504721914|AVERAGE CUSTOMERS|300|0.0
1048608|112701|224.18|9|78.3133|20161217|352|5.412449300592949|0.9642857142857144|0.4222178620163244|0.5611838427447127|GOOD CUSTOMERS|200|2.1972245773362196
1048608|8149906|188.2|3|69.5698|20161014|288|5.23750522715128|0.7884615384615385|0.2111089310081622|0.5457958686747073|GOOD CUSTOMERS|200|1.0986122886681098
