DistrictId|PartnerId|TotalAmount|TranCount|NetMargin|MaxDateTran|MaxDateIndex|F1|F2|Segment|CentroidID|F1LOG|F0LOG
1048608|7032570|62.79|1|11.5723|20160819|232|0.4492420187359278|0.6033129791989096|AVERAGE CUSTOMERS|300|2.4486143114235475|4.139795825126018
1048608|4063626|2185.25|17|266.6654|20161215|350|0.7614705605071481|0.8177790766848039|MOST VALUED CUSTOMERS|100|5.585994688988536|7.689485517460597
1048608|5494122|524.82|7|103.11|20161125|330|0.6360026321050221|0.7528251027501986|GOOD CUSTOMERS|200|4.635796379529852|6.263055346659819
1048608|3643916|46.62|1|4.7105|20160723|205|0.4230506860210345|0.5418711237106915|AVERAGE CUSTOMERS|300|1.5497940595065853|3.842029633607611
1048608|3468336|3043.11|39|678.0943|20161229|364|0.7905982933455018|0.8815773412329406|MOST VALUED CUSTOMERS|100|6.51928636381462|8.020635297781256
1048608|6007191|279.73|1|86.0574|20160702|184|0.5806559013366077|0.7404671556049958|GOOD CUSTOMERS|200|4.4550145154737155|5.633824852232399
1048608|8813459|107.41|4|21.7848|20161009|283|0.4964636739167542|0.6465563363720541|AVERAGE CUSTOMERS|300|3.08121247889839|4.676653287609955
1048608|8771361|65.57|2|5.0508|20160810|223|0.4530526349577117|0.5466392943943187|AVERAGE CUSTOMERS|300|1.6195466465823882|4.183118274275528
1048608|7674870|37.95|1|9.1403|20160723|205|0.40495215041939603|0.587185805460179|AVERAGE CUSTOMERS|300|2.212693207684515|3.636269503841639
1048608|7024541|75.96|1|15.3456|20161126|331|0.4659904595882986|0.6226046908053101|AVERAGE CUSTOMERS|300|2.7308287879915496|4.330206885944085
1048608|7929485|95.31|4|9.9283|20160815|228|0.4859508950482526|0.5928387702136312|AVERAGE CUSTOMERS|300|2.2953892650122434|4.557134736949535
1048608|5697176|128.1|4|26.7646|20161217|352|0.5119584173038885|0.6606291053780899|AVERAGE CUSTOMERS|300|3.2870801188429533|4.852811208902689
1048608|8128371|162.59|3|30.9476|20160810|223|0.5329297379071349|0.6705557836843326|GOOD CUSTOMERS|200|3.4322954516973865|5.091231694607464
1048608|4784300|94.12|4|30.5916|20160812|225|0.48484575804119545|0.6697648784215133|AVERAGE CUSTOMERS|300|3.4207254614697007|4.544570563859161
1048608|5711491|163.36|3|37.775|20160703|185|0.5333453161042041|0.6841831582547856|GOOD CUSTOMERS|200|3.631647508158803|5.095956354416355
1048608|5083492|2177.78|47|572.889|20161224|359|0.7611693673964024|0.8700525099854206|MOST VALUED CUSTOMERS|100|6.3506919806716375|7.686061288290032
1048608|717843|1637.76|7|413.8551|20161213|348|0.736103003335502|0.8478240155311976|MOST VALUED CUSTOMERS|100|6.025515912561019|7.401084733531369
1048608|3253423|69.47|1|18.2294|20160315|75|0.4581346409508533|0.6343764668258011|AVERAGE CUSTOMERS|300|2.903035675367804|4.2408950047047895
1048608|6361099|61.02|4|1.3928|20160811|224|0.44672689509644065|0.45857800035043655|LOWER RANGE CUSTOMERS|400|0.33131610947184226|4.1112016792885235
1048608|6806150|244.94|4|36.0551|20160704|186|0.5689738766209376|0.6809977156274458|GOOD CUSTOMERS|200|3.585048323905301|5.501013282593141
1048608|4238184|67.47|1|9.7067|20160918|262|0.4555651756280317|0.5912957246169669|AVERAGE CUSTOMERS|300|2.272816368720413|4.211683054639334
1048608|3045134|361.2|12|72.6095|20161207|342|0.6031389345624976|0.728851792967208|GOOD CUSTOMERS|200|4.285095767264604|5.88943182154283
1048608|7839942|675.6|16|113.5309|20161223|358|0.658216410110718|0.75940655208221|MOST VALUED CUSTOMERS|100|4.732075046565086|6.5156011849336455
1048608|7027658|19.06|2|3.4468|20160606|158|0.3443764879843987|0.5205195486331523|LOWER RANGE CUSTOMERS|400|1.2374462643834747|2.947591898226056
1048608|6795327|324.12|5|67.4176|20160803|216|0.5936113489557877|0.723780311652692|GOOD CUSTOMERS|200|4.210906111426824|5.781113817592525
1048608|5477125|776.26|10|168.4207|20161204|339|0.6704327671048009|0.7863663935502947|MOST VALUED CUSTOMERS|100|5.126465015869186|6.6544875156123755
1048608|7107821|22.68|1|4.8494|20160803|216|0.3596718854285005|0.5438576802435126|LOWER RANGE CUSTOMERS|400|1.5788549859563066|3.121483478859551
1048608|3299749|318.95|6|79.4249|20161103|308|0.5921970088474366|0.7349846398267293|GOOD CUSTOMERS|200|4.374811921105369|5.765034350687964
